Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
312110 Delfim Moreira,-,-,-,-,1,-,-,-,-,-,-,-,-,1
312120 Delfinópolis,-,-,-,-,1,-,-,-,1,-,-,-,-,2
312125 Delta,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312160 Diamantina,-,-,-,-,-,5,4,1,1,-,-,-,-,11
312180 Dionísio,-,-,-,-,-,-,1,2,-,-,-,-,-,3
312200 Divino,-,-,-,-,-,2,2,2,2,-,-,-,-,8
312210 Divino das Laranjeiras,-,-,-,-,-,-,1,-,-,-,-,-,-,1
312220 Divinolândia de Minas,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312230 Divinópolis,-,-,-,-,9,26,15,8,2,3,1,-,-,64
312240 Divisa Nova,-,-,-,-,-,-,-,1,-,-,-,-,-,1
312245 Divisópolis,-,-,-,-,-,-,-,-,-,-,1,-,-,1
312247 Dom Bosco,-,-,-,-,-,-,2,-,-,-,-,-,-,2
312300 Dores de Campos,-,-,-,-,1,-,1,-,-,-,-,-,-,2
312320 Dores do Indaiá,-,-,-,-,1,-,-,1,-,-,-,-,-,2
312330 Dores do Turvo,-,-,-,-,1,1,-,1,-,-,-,-,-,3
312360 Elói Mendes,-,-,-,-,1,1,1,-,-,1,-,-,-,4
312370 Engenheiro Caldas,-,-,-,-,1,1,-,-,1,-,-,-,-,3
312400 Ervália,-,-,-,-,1,2,-,4,2,-,-,-,-,9
312410 Esmeraldas,-,-,-,1,8,8,5,2,1,-,-,-,-,25
312420 Espera Feliz,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312430 Espinosa,-,-,-,-,-,-,2,1,-,-,-,-,-,3
312450 Estiva,-,-,-,-,-,-,-,-,1,1,-,-,-,2
312490 Eugenópolis,-,-,-,-,1,-,1,-,-,-,-,-,-,2
312510 Extrema,-,-,-,-,-,1,-,-,1,-,-,1,-,3
312540 Felício dos Santos,-,-,-,-,-,-,-,1,-,-,-,-,-,1
312560 Felisburgo,-,-,-,-,-,-,-,1,-,-,-,-,-,1
312570 Felixlândia,-,-,-,-,-,2,-,-,2,-,-,-,-,4
312580 Fernandes Tourinho,-,-,-,-,-,-,-,-,-,-,1,-,-,1
312590 Ferros,-,-,-,-,-,-,1,-,-,1,-,-,-,2
312595 Fervedouro,-,-,-,-,-,4,1,-,-,-,-,-,-,5
312600 Florestal,-,-,-,-,1,1,-,-,-,-,-,-,-,2
312610 Formiga,-,-,-,-,3,2,-,2,1,1,1,-,-,10
312620 Formoso,-,-,-,-,-,-,-,-,1,-,-,-,-,1
312650 Francisco Badaró,-,-,-,-,-,-,1,-,-,-,-,-,-,1
312660 Francisco Dumont,-,-,-,-,-,-,1,-,-,-,-,-,-,1
312670 Francisco Sá,-,-,-,-,-,-,-,1,-,-,-,-,-,1
312675 Franciscópolis,-,-,-,-,-,-,-,-,-,1,-,-,-,1
312690 Frei Inocêncio,-,-,-,-,-,2,1,-,-,-,-,-,-,3
312700 Fronteira,-,-,-,-,-,1,1,-,1,-,-,-,-,3
312705 Fronteira dos Vales,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312710 Frutal,-,-,-,-,2,4,1,2,3,-,-,-,-,12
312720 Funilândia,-,-,-,-,1,-,1,-,-,1,-,-,-,3
312730 Galiléia,-,-,-,-,2,-,-,-,-,-,-,-,-,2
312733 Gameleiras,-,-,-,-,-,-,-,-,-,1,-,-,-,1
312738 Goianá,-,-,1,-,-,-,-,-,-,-,-,-,-,1
312770 Governador Valadares,-,-,-,1,30,44,27,11,6,4,-,1,-,124
312780 Grão Mogol,-,-,-,-,-,-,2,1,-,-,-,-,-,3
312800 Guanhães,-,-,-,-,-,2,1,2,1,1,-,-,-,7
312820 Guaraciaba,-,-,-,-,-,-,-,1,-,-,-,-,-,1
312830 Guaranésia,-,-,-,-,1,-,-,-,-,-,-,-,-,1
312840 Guarani,-,-,-,-,-,1,1,-,-,-,1,-,-,3
312870 Guaxupé,-,-,-,-,-,3,2,1,1,-,-,-,-,7
312880 Guidoval,-,-,-,-,-,-,-,-,-,1,-,-,-,1
312890 Guimarânia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312920 Heliodora,-,-,-,-,-,-,-,-,-,1,-,-,-,1
312950 Ibiá,-,-,-,-,1,2,5,-,-,-,-,-,-,8
312980 Ibirité,-,-,-,1,3,20,8,2,-,1,-,-,-,35
313000 Ibituruna,-,-,-,-,-,-,-,-,-,1,-,-,-,1
313005 Icaraí de Minas,-,-,-,-,-,-,-,-,1,-,-,-,-,1
313010 Igarapé,-,-,-,-,-,6,3,2,-,-,-,-,-,11
313030 Iguatama,-,-,-,-,1,-,-,-,-,-,-,-,-,1
313050 Ilicínea,-,-,-,-,-,1,1,1,-,-,-,-,-,3
313055 Imbé de Minas,-,-,-,-,1,1,-,1,-,-,-,-,-,3
313090 Inhapim,-,-,-,-,3,-,-,2,1,-,1,-,-,7
313110 Inimutaba,-,-,-,-,-,-,-,1,-,-,-,-,-,1
313115 Ipaba,-,-,-,-,1,1,1,-,1,-,-,-,-,4
313120 Ipanema,-,-,-,-,1,1,-,1,1,-,-,-,-,4
313130 Ipatinga,-,-,-,-,6,17,11,-,-,1,-,-,-,35
313160 Iraí de Minas,-,-,-,-,-,2,1,-,-,-,-,-,-,3
313170 Itabira,-,-,-,-,5,11,5,1,2,-,-,-,-,24
313180 Itabirinha,-,-,-,-,-,-,2,1,-,-,-,1,-,4
313190 Itabirito,-,-,-,-,-,4,3,1,1,-,-,-,-,9
313210 Itacarambi,-,-,-,-,-,1,-,1,-,-,-,-,-,2
313220 Itaguara,-,-,-,-,-,-,1,-,-,-,-,-,-,1
313230 Itaipé,-,-,-,-,-,3,4,2,-,-,-,-,-,9
313240 Itajubá,-,-,-,-,1,4,2,3,2,-,1,1,-,14
313250 Itamarandiba,-,-,-,-,-,4,1,2,-,-,-,-,-,7
313260 Itamarati de Minas,-,-,-,-,-,-,-,-,-,1,-,-,-,1
313270 Itambacuri,-,-,-,-,-,-,-,1,1,-,-,-,-,2
313300 Itamonte,-,-,-,-,-,-,-,-,1,-,-,-,-,1
313310 Itanhandu,-,-,-,-,-,1,1,-,-,-,-,-,-,2
313320 Itanhomi,-,-,-,-,1,-,-,1,-,-,-,-,-,2
313330 Itaobim,-,-,-,2,2,5,4,2,1,1,-,-,-,17
313340 Itapagipe,-,-,-,-,1,1,-,1,-,-,-,-,-,3
313350 Itapecerica,-,-,-,-,-,-,1,-,1,-,-,-,-,2
313360 Itapeva,-,-,-,-,-,1,-,-,1,-,-,-,-,2
313370 Itatiaiuçu,-,-,-,-,-,-,-,-,1,1,2,-,-,4
313375 Itaú de Minas,-,-,-,-,-,-,-,1,-,-,-,-,-,1
313380 Itaúna,-,-,-,-,2,9,8,4,-,-,-,-,-,23
313400 Itinga,-,-,-,-,-,3,-,1,-,1,-,-,-,5
313420 Ituiutaba,-,-,-,-,1,4,2,4,1,-,-,-,-,12
313440 Iturama,-,-,-,-,-,-,-,1,-,-,1,-,-,2
313460 Jaboticatubas,-,-,-,-,2,2,1,-,-,-,-,-,-,5
313470 Jacinto,-,-,-,-,1,2,-,-,-,-,-,-,-,3
313505 Jaíba,-,-,-,-,6,8,3,2,-,-,-,-,-,19
313510 Janaúba,-,4,-,-,10,23,4,7,3,-,-,-,-,51
313520 Januária,-,-,-,-,2,3,1,1,-,1,-,-,-,8
313535 Japonvar,-,-,-,-,1,-,-,1,-,-,-,-,-,2
313540 Jeceaba,-,-,-,-,1,-,1,-,-,-,-,-,-,2
313550 Jequeri,-,-,-,-,-,1,-,-,2,-,-,-,-,3
313560 Jequitaí,-,-,-,-,1,2,-,-,1,-,-,-,-,4
313580 Jequitinhonha,-,-,-,-,6,2,1,4,1,1,-,-,-,15
313600 Joaíma,-,-,-,-,-,1,1,-,-,-,-,-,-,2
313620 João Monlevade,-,-,-,-,3,6,4,2,1,-,1,-,-,17
313630 João Pinheiro,-,-,-,-,4,9,2,1,3,-,-,-,-,19
313655 José Raydan,-,-,-,-,-,-,-,-,-,1,1,-,-,2
313657 Josenópolis,-,-,-,-,-,1,-,-,-,-,-,-,-,1
313665 Juatuba,-,-,-,-,1,1,2,2,-,-,-,1,1,8
313670 Juiz de Fora,-,1,-,2,30,57,29,14,4,4,2,-,-,143
313695 Juvenília,-,-,-,-,-,-,-,1,-,-,-,-,-,1
313700 Ladainha,-,-,-,1,1,1,-,1,1,-,-,-,-,5
313720 Lagoa da Prata,-,-,-,-,-,3,1,2,1,-,-,1,-,8
313730 Lagoa dos Patos,-,-,-,-,-,-,-,1,-,-,-,-,-,1
313753 Lagoa Grande,-,-,-,-,1,1,1,-,-,-,-,-,-,3
313760 Lagoa Santa,-,-,-,-,-,1,-,1,-,-,-,-,-,2
313770 Lajinha,-,-,-,-,-,3,-,1,-,1,-,-,-,5
313780 Lambari,-,-,-,-,1,-,-,-,-,-,1,-,-,2
313790 Lamim,-,1,-,-,-,-,-,-,-,-,-,-,-,1
313820 Lavras,-,-,-,-,2,3,3,-,1,-,-,-,-,9
313830 Leandro Ferreira,-,-,-,-,-,-,-,-,-,-,1,-,-,1
313840 Leopoldina,-,-,-,-,2,5,2,1,-,-,-,-,-,10
313850 Liberdade,-,-,-,-,-,-,-,2,-,-,-,-,-,2
313860 Lima Duarte,-,-,-,-,-,1,1,-,-,-,-,-,-,2
313865 Lontra,-,-,-,-,-,1,-,-,-,-,-,-,-,1
313868 Luislândia,-,-,-,-,-,-,1,-,-,-,-,-,-,1
313890 Machacalis,-,-,-,-,-,-,1,1,-,-,-,-,-,2
313900 Machado,-,-,-,-,2,5,1,-,1,-,-,-,-,9
313910 Madre de Deus de Minas,-,-,-,-,-,-,1,-,-,-,-,-,-,1
313920 Malacacheta,-,-,-,-,-,2,1,1,-,-,-,-,-,4
313925 Mamonas,-,-,-,-,-,-,-,1,-,-,-,-,-,1
313930 Manga,-,-,-,-,3,2,1,1,2,-,-,-,-,9
313940 Manhuaçu,-,-,-,-,-,10,4,-,-,1,-,-,-,15
313950 Manhumirim,-,-,-,-,1,-,-,1,1,-,-,-,-,3
313960 Mantena,-,-,-,-,1,3,2,-,-,-,-,-,-,6
313980 Mar de Espanha,-,-,-,-,-,2,1,-,-,-,-,-,-,3
314000 Mariana,-,-,-,1,3,5,4,1,1,-,-,-,-,15
314010 Marilac,-,-,-,-,-,1,-,-,-,-,-,-,-,1
314030 Marliéria,-,-,-,-,1,-,-,-,-,-,-,-,-,1
314050 Martinho Campos,-,-,-,-,-,-,-,1,-,-,-,-,-,1
314055 Mata Verde,-,-,-,-,-,2,-,-,1,-,-,-,-,3
314060 Materlândia,-,-,-,-,-,-,-,-,-,-,-,1,-,1
314070 Mateus Leme,-,-,-,-,1,4,-,-,1,1,-,-,-,7
317150 Mathias Lobato,-,-,-,-,-,1,1,-,-,-,-,-,-,2
314085 Matias Cardoso,-,-,-,-,1,-,-,-,-,-,-,-,-,1
314090 Matipó,-,-,-,-,-,2,4,1,2,-,-,-,-,9
314100 Mato Verde,-,-,-,-,-,2,5,1,-,-,-,-,-,8
314110 Matozinhos,-,-,-,-,2,6,2,1,-,1,1,-,-,13
314120 Matutina,-,-,-,-,-,-,-,1,1,-,-,-,-,2
314140 Medina,-,-,-,-,4,9,2,3,1,-,1,-,-,20
314170 Mesquita,-,-,-,-,-,1,-,-,-,-,-,-,-,1
314180 Minas Novas,-,-,2,-,-,1,-,1,1,-,-,-,-,5
314190 Minduri,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314200 Mirabela,-,-,-,-,-,1,-,-,-,-,-,-,-,1
314210 Miradouro,-,-,-,-,1,-,-,2,1,-,-,-,-,4
314225 Miravânia,-,-,-,-,-,-,2,-,-,-,-,-,-,2
314240 Moema,-,-,-,-,-,-,-,-,1,-,-,-,-,1
314270 Montalvânia,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314280 Monte Alegre de Minas,-,-,-,-,-,1,1,1,1,-,-,1,-,5
314310 Monte Carmelo,-,-,-,-,-,1,3,-,-,-,-,-,-,4
314330 Montes Claros,-,3,-,1,13,11,14,8,4,1,4,2,-,61
314350 Morada Nova de Minas,-,-,-,-,-,-,-,-,-,-,1,-,-,1
314360 Morro da Garça,-,-,-,-,-,-,-,-,1,-,-,-,-,1
314370 Morro do Pilar,-,-,-,-,-,-,1,1,-,-,-,-,-,2
314380 Munhoz,-,-,-,-,-,1,-,-,1,-,-,-,-,2
314390 Muriaé,-,-,1,-,2,8,6,5,2,1,1,-,-,26
314400 Mutum,-,-,-,-,-,-,3,2,-,-,-,-,-,5
314420 Nacip Raydan,-,-,-,-,1,-,-,-,-,-,-,-,-,1
314430 Nanuque,-,-,-,-,7,9,5,3,1,-,-,-,-,25
314435 Naque,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314437 Natalândia,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314460 Nepomuceno,-,-,-,-,1,-,-,-,-,-,-,-,-,1
314470 Nova Era,-,-,-,-,1,-,2,-,1,-,-,-,-,4
314480 Nova Lima,-,-,-,1,6,4,7,3,-,1,-,1,1,24
314505 Nova Porteirinha,-,-,-,-,1,1,4,1,-,-,-,-,-,7
314510 Nova Resende,-,-,-,-,-,-,-,2,-,-,-,-,-,2
314520 Nova Serrana,-,-,-,1,8,13,7,2,-,1,-,-,-,32
314530 Novo Cruzeiro,-,-,-,-,-,3,1,2,-,-,-,-,-,6
314535 Novo Oriente de Minas,-,-,-,-,-,1,-,-,-,-,1,-,-,2
314560 Oliveira,-,-,-,-,1,5,1,1,1,-,-,-,-,9
314570 Oliveira Fortes,-,-,-,-,2,-,-,-,-,-,-,-,-,2
314587 Orizânia,-,-,-,-,-,2,-,-,1,-,-,-,-,3
314590 Ouro Branco,-,-,-,-,-,3,-,-,-,-,-,-,-,3
314610 Ouro Preto,-,-,-,-,4,3,2,-,-,-,-,1,-,10
314620 Ouro Verde de Minas,-,-,-,-,-,-,-,1,1,-,-,-,-,2
314630 Padre Paraíso,-,-,-,-,3,3,1,2,1,-,-,-,-,10
314655 Pai Pedro,-,-,-,-,1,1,-,-,-,-,-,-,-,2
314640 Paineiras,-,-,-,-,-,2,-,-,-,-,-,-,-,2
314675 Palmópolis,-,-,-,-,-,3,-,-,-,-,-,-,-,3
314690 Papagaios,-,-,-,-,-,2,4,2,-,-,1,-,-,9
314710 Pará de Minas,-,-,-,-,1,4,5,4,3,-,-,-,-,17
314700 Paracatu,-,-,-,-,3,19,10,5,-,-,-,-,-,37
314720 Paraguaçu,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314730 Paraisópolis,-,-,-,-,-,1,-,-,1,-,-,-,-,2
314740 Paraopeba,-,-,-,-,2,-,1,1,-,-,-,-,-,4
314760 Passa Quatro,-,-,-,-,-,1,1,-,-,-,-,-,-,2
314770 Passa Tempo,-,-,-,-,-,-,-,1,-,-,-,-,-,1
314790 Passos,-,-,-,-,1,2,3,2,-,-,-,-,-,8
314800 Patos de Minas,-,-,-,-,5,16,5,4,-,2,-,-,-,32
314810 Patrocínio,-,-,-,-,4,16,8,1,1,-,-,-,-,30
314830 Paula Cândido,-,-,-,-,1,1,1,-,-,-,-,-,-,3
314850 Pavão,-,-,-,1,-,-,-,-,-,-,-,-,-,1
314860 Peçanha,-,-,-,-,-,2,2,-,2,-,-,-,-,6
314870 Pedra Azul,-,-,-,-,2,3,1,-,-,-,-,-,-,6
314875 Pedra Bonita,-,-,-,-,-,-,-,1,-,-,-,-,-,1
314890 Pedra do Indaiá,-,-,-,-,-,1,-,-,-,-,-,-,-,1
314915 Pedras de Maria da Cruz,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314930 Pedro Leopoldo,-,-,-,-,3,11,4,1,-,-,-,-,-,19
314960 Pequi,-,-,-,-,-,-,1,-,1,-,-,-,-,2
314970 Perdigão,-,-,-,-,2,-,1,1,-,-,-,-,-,4
314980 Perdizes,-,-,-,-,-,-,-,1,-,-,-,-,-,1
314990 Perdões,-,-,-,-,-,2,-,-,-,-,-,-,-,2
314995 Periquito,-,-,-,-,1,-,2,-,2,-,-,-,-,5
315000 Pescador,-,-,-,-,1,1,-,-,-,-,-,-,-,2
315015 Piedade de Caratinga,-,-,-,-,-,1,1,-,1,-,-,-,-,3
315053 Pingo-d'Água,-,-,-,-,-,-,1,-,-,-,-,-,-,1
315060 Piracema,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315070 Pirajuba,-,-,-,-,-,1,-,2,-,-,-,-,-,3
315080 Piranga,-,-,-,-,-,-,-,2,-,-,-,-,-,2
315100 Piranguinho,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315120 Pirapora,-,-,-,-,3,9,1,1,-,1,-,-,-,15
315130 Piraúba,-,-,-,-,1,-,1,-,-,-,-,-,-,2
315140 Pitangui,-,-,-,-,2,1,3,1,3,-,-,-,1,11
315150 Piumhi,-,-,-,-,-,-,-,-,-,1,1,-,-,2
315180 Poços de Caldas,-,-,-,-,-,3,1,5,2,-,-,-,-,11
315190 Pocrane,-,-,-,-,-,1,-,1,1,-,-,-,-,3
315200 Pompéu,-,-,-,-,2,10,7,1,-,-,-,-,-,20
315210 Ponte Nova,-,-,-,-,4,6,1,3,2,-,-,1,-,17
315217 Ponto dos Volantes,-,-,-,-,2,-,2,-,-,-,-,-,-,4
315220 Porteirinha,-,-,-,-,1,2,2,3,-,-,1,-,-,9
315230 Porto Firme,-,-,-,-,-,1,-,1,-,-,-,-,-,2
315240 Poté,-,-,-,-,-,3,-,-,1,-,-,-,-,4
315250 Pouso Alegre,-,-,-,-,1,5,2,3,-,-,2,-,-,13
315260 Pouso Alto,-,-,-,-,-,-,-,-,1,-,-,-,-,1
315280 Prata,-,-,-,-,-,4,-,2,2,-,-,-,-,8
315300 Pratinha,-,-,-,-,-,-,1,-,-,-,-,-,-,1
315340 Presidente Olegário,-,-,-,-,2,-,-,-,-,2,-,-,-,4
315360 Prudente de Morais,-,-,-,-,3,-,-,-,1,-,-,-,-,4
315400 Raul Soares,-,-,-,-,1,2,1,1,1,-,-,-,-,6
315410 Recreio,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315415 Reduto,-,-,-,-,-,-,-,1,-,-,-,-,-,1
315430 Resplendor,-,-,-,-,-,1,1,-,-,-,-,-,-,2
315445 Riachinho,-,-,-,-,-,1,-,1,-,-,-,-,-,2
315460 Ribeirão das Neves,-,-,-,-,23,47,22,12,5,3,-,-,-,112
315490 Rio Casca,-,-,-,-,-,1,-,3,1,-,-,-,-,5
315510 Rio do Prado,-,-,-,-,-,-,1,-,-,-,-,-,-,1
315520 Rio Espera,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315540 Rio Novo,-,-,-,-,1,-,-,-,-,-,-,-,-,1
315550 Rio Paranaíba,-,-,-,-,1,-,3,3,-,-,1,-,-,8
315560 Rio Pardo de Minas,-,-,-,-,-,2,-,-,-,-,-,-,-,2
315580 Rio Pomba,-,-,-,-,-,1,-,1,-,-,-,-,-,2
315600 Rio Vermelho,-,-,-,-,-,-,1,3,1,1,-,-,-,6
315640 Romaria,-,-,-,-,-,-,-,-,-,-,1,-,-,1
315645 Rosário da Limeira,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315650 Rubelita,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315660 Rubim,-,-,-,-,1,-,-,-,-,-,-,-,-,1
315670 Sabará,-,1,-,-,5,12,6,1,3,1,-,-,-,29
315680 Sabinópolis,-,-,-,-,-,-,-,-,1,-,-,-,-,1
315690 Sacramento,-,-,-,-,-,1,-,-,-,1,1,-,-,3
315700 Salinas,-,-,-,-,2,2,1,1,-,-,-,-,-,6
315710 Salto da Divisa,-,-,-,-,-,-,1,-,-,-,-,-,-,1
315720 Santa Bárbara,-,-,-,-,-,-,1,1,-,-,-,-,-,2
315725 Santa Bárbara do Leste,-,-,-,-,1,-,-,-,-,-,-,-,-,1
315733 Santa Cruz de Minas,-,-,-,-,-,2,1,-,-,-,-,-,-,3
315737 Santa Cruz de Salinas,-,-,-,-,-,-,1,-,-,-,1,-,-,2
315750 Santa Efigênia de Minas,-,-,-,1,-,-,-,-,-,-,-,-,-,1
315760 Santa Fé de Minas,-,-,-,-,-,-,-,-,1,-,-,-,-,1
315765 Santa Helena de Minas,-,-,-,-,-,-,1,2,-,-,-,-,-,3
315770 Santa Juliana,-,-,-,-,1,2,1,-,-,-,-,-,-,4
315780 Santa Luzia,-,-,-,-,9,12,17,9,1,2,-,-,-,50
315790 Santa Margarida,-,-,-,-,-,1,3,1,1,1,-,-,-,7
315800 Santa Maria de Itabira,-,-,-,-,-,1,-,1,-,-,-,-,-,2
315820 Santa Maria do Suaçuí,-,-,-,1,-,6,2,-,-,-,-,-,-,9
315950 Santa Rita do Itueto,-,-,-,-,-,-,2,-,-,-,-,-,-,2
315960 Santa Rita do Sapucaí,-,-,-,-,1,-,1,-,-,-,-,-,-,2
315980 Santa Vitória,-,-,-,-,-,-,2,4,2,-,-,-,-,8
315890 Santana do Manhuaçu,-,-,-,-,-,1,1,-,1,-,-,-,-,3
315895 Santana do Paraíso,-,-,-,-,-,2,2,-,2,-,-,-,-,6
315990 Santo Antônio do Amparo,-,-,-,1,-,-,1,-,-,1,-,-,-,3
316000 Santo Antônio do Aventureiro,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316030 Santo Antônio do Jacinto,-,-,-,-,1,-,2,-,-,-,-,-,-,3
316040 Santo Antônio do Monte,-,-,-,-,-,1,-,1,-,1,-,-,-,3
316045 Santo Antônio do Retiro,-,-,-,-,-,1,1,-,-,-,-,-,-,2
316070 Santos Dumont,-,-,-,-,-,2,-,-,-,-,-,-,-,2
316095 São Domingos das Dores,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316100 São Domingos do Prata,-,-,-,-,-,-,1,-,1,-,-,-,-,2
316110 São Francisco,-,-,-,-,-,1,2,-,-,-,-,-,-,3
316140 São Francisco do Glória,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316150 São Geraldo,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316160 São Geraldo da Piedade,-,-,-,-,-,2,-,-,-,-,-,-,-,2
316170 São Gonçalo do Abaeté,-,-,-,-,1,-,-,-,-,-,-,-,-,1
316180 São Gonçalo do Pará,-,-,-,-,-,2,-,-,1,-,-,-,-,3
316190 São Gonçalo do Rio Abaixo,-,-,-,-,-,1,-,-,-,1,-,-,-,2
316210 São Gotardo,-,-,-,-,1,2,2,2,1,-,-,-,-,8
316220 São João Batista do Glória,-,-,-,-,-,1,1,-,-,-,-,-,-,2
316245 São João das Missões,-,-,-,-,-,1,1,-,-,-,-,-,-,2
316250 São João del Rei,-,-,-,-,7,3,4,5,-,-,-,-,-,19
316255 São João do Manhuaçu,-,-,-,-,-,1,1,2,-,-,-,-,-,4
316257 São João do Manteninha,-,-,-,-,1,-,2,-,2,-,-,-,-,5
316260 São João do Oriente,-,-,-,-,2,-,-,-,-,-,-,-,-,2
316280 São João Evangelista,-,-,-,-,-,-,4,-,1,-,-,-,-,5
316290 São João Nepomuceno,-,-,-,1,2,5,-,-,-,-,-,-,-,8
316292 São Joaquim de Bicas,-,-,-,-,3,9,6,4,2,1,1,-,-,26
316300 São José da Safira,-,-,-,-,-,1,-,1,-,-,-,-,-,2
316310 São José da Varginha,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316320 São José do Alegre,-,-,-,-,-,-,-,-,-,1,-,-,-,1
316340 São José do Goiabal,-,-,-,-,-,-,-,-,1,-,-,-,-,1
316350 São José do Jacuri,-,-,-,-,-,-,2,-,1,-,-,-,-,3
316370 São Lourenço,-,-,-,-,-,1,1,-,1,1,-,-,-,4
316380 São Miguel do Anta,-,-,-,-,-,-,-,-,1,-,-,-,-,1
316410 São Pedro do Suaçuí,-,-,-,-,-,1,1,-,-,-,-,-,-,2
316400 São Pedro dos Ferros,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316420 São Romão,-,-,-,-,-,-,-,-,-,1,-,-,-,1
316440 São Sebastião da Bela Vista,-,-,-,-,-,-,-,1,-,-,-,-,-,1
316447 São Sebastião do Anta,-,-,-,-,-,1,-,-,1,-,-,-,-,2
316450 São Sebastião do Maranhão,-,-,-,-,-,1,1,-,-,-,-,-,-,2
316460 São Sebastião do Oeste,-,-,-,-,-,-,-,-,-,1,-,-,-,1
316470 São Sebastião do Paraíso,-,-,-,-,1,2,4,2,1,-,-,-,-,10
316520 São Thomé das Letras,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316510 São Tomás de Aquino,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316530 São Vicente de Minas,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316550 Sardoá,-,-,-,-,-,-,-,-,-,2,-,-,-,2
316553 Sarzedo,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316570 Senador Firmino,-,-,-,-,-,-,-,-,1,-,1,-,-,2
316610 Senhora do Porto,-,-,-,-,-,-,-,-,-,1,-,-,-,1
316630 Sericita,-,-,-,-,-,3,1,-,1,-,-,-,-,5
316680 Serra do Salitre,-,-,-,-,-,2,-,-,-,-,-,-,-,2
316670 Serra dos Aimorés,-,-,-,-,-,-,-,1,-,-,-,-,-,1
316690 Serrania,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316695 Serranópolis de Minas,-,-,-,-,-,-,-,-,1,-,-,-,-,1
316710 Serro,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316720 Sete Lagoas,-,-,-,-,11,17,17,8,2,1,-,1,1,58
316555 Setubinha,-,-,-,-,-,-,-,1,-,1,-,-,-,2
316760 Simonésia,-,-,-,-,-,-,-,1,-,-,-,-,-,1
316770 Sobrália,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316800 Taiobeiras,-,-,-,-,5,2,4,2,-,-,-,-,-,13
316805 Taparuba,-,-,-,-,-,1,1,1,-,-,-,-,-,3
316840 Tarumirim,-,-,-,-,-,1,1,-,-,-,-,-,-,2
316850 Teixeiras,-,-,-,-,2,3,1,-,1,-,-,-,-,7
316860 Teófilo Otoni,-,-,-,-,3,13,9,4,5,3,1,-,-,38
316870 Timóteo,-,-,-,-,7,5,4,1,2,1,-,-,-,20
316880 Tiradentes,-,-,-,-,2,-,-,-,-,-,-,-,-,2
316890 Tiros,-,-,-,-,-,-,3,-,-,-,-,-,-,3
316900 Tocantins,-,-,-,-,1,-,1,-,1,-,-,-,-,3
316910 Toledo,-,-,-,-,-,-,1,-,1,-,-,-,-,2
316920 Tombos,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316930 Três Corações,-,-,-,-,1,3,4,4,1,-,-,-,-,13
316935 Três Marias,-,-,-,-,3,1,3,1,-,-,-,1,-,9
316940 Três Pontas,-,-,-,-,-,3,-,-,-,-,-,-,-,3
316950 Tumiritinga,-,-,-,-,1,3,-,-,1,-,-,-,-,5
316960 Tupaciguara,-,-,-,-,-,3,-,1,-,-,-,-,1,5
316970 Turmalina,-,-,-,-,-,-,-,1,-,-,-,-,-,1
316990 Ubá,-,-,-,-,6,12,3,4,1,-,1,-,-,27
317000 Ubaí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
317010 Uberaba,-,-,-,1,5,14,17,9,4,-,1,-,6,57
317020 Uberlândia,-,1,-,1,10,46,38,8,8,4,1,1,6,124
317030 Umburatiba,-,-,-,-,-,1,1,-,-,-,-,-,-,2
317040 Unaí,-,-,-,-,4,4,4,4,2,2,1,-,-,21
317050 Urucânia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
